Superhero,Universe,alignment,combat,durability,gender,id,identity,intelligence,power,race,speed,strength
Green Lantern (New 52),DC Comics,Good,80,95,Male,219,Alan Scott,85,90,Human,65,75
Grifter,DC Comics,Neutral,95,80,Male,220,Cole Cash,75,100,Human,50,15
Grim Reaper,Marvel Comics,Bad,70,50,Male,221,Eric Williams,90,90,Human,40,30
Groot,Marvel Comics,Good,65,70,Male,222,Groot,90,100,Flora Colossus,35,85
Gypsy (CW),DC Comics,Good,85,40,Female,223,Cynthia,80,80,Metahuman,45,15
Harley Quinn (Arkham),DC Comics,Bad,100,60,Female,224,Harleen Quinzel,100,75,Human,50,20
Harley Quinn (New 52),DC Comics,Neutral,100,65,Female,225,Harleen Quinzel,100,65,Human,50,20
Harley Quinn,DC Comics,Bad,80,65,Female,226,Harleen Quinzel,95,55,Human,35,10
Harrison Wells (CW),DC Comics,Good,70,20,Male,227,Harrison Wells,100,15,Human,25,10
Harry Osborn (Raimi Trilogy),Marvel Comics,Good,75,60,Male,228,Harold Osborn,85,70,Human,60,50
Harry Potter,J. K. Rowling,Good,50,10,Male,229,Harry James Potter,90,100,Human,20,5
Havok (FOX),Marvel Comics,Good,75,60,Male,230,Alexander Summers,90,55,Mutant,50,30
Havok,Marvel Comics,Good,45,60,Male,231,Alexander Summers,80,70,Mutant,25,10
Hawk (Titans),DC Comics,Good,85,50,Male,232,Hank Hall,75,45,Human,35,15
Hawkeye II,Marvel Comics,Good,50,10,Female,233,Katherine Elizabeth Bishop,75,25,Human,10,5
Hawkgirl (CW),DC Comics,Good,75,100,Female,234,Kendra Saunders,80,80,Human,55,30
Hawkman (CW),DC Comics,Good,70,70,Male,235,Carter Hall,70,50,Human,60,55
Heat Wave (CW),DC Comics,Good,85,45,Male,236,Mick Rory,75,40,Human,30,15
Heat Wave,DC Comics,Bad,30,45,Male,237,Mick Rory,70,25,Human,15,10
Heimdall (MCU),Marvel Comics,Good,90,90,Male,238,Heimdall,100,100,Asgardian,85,35
Hellboy (Injustice 2),Dark Horse Comics,Good,100,100,Male,239,Anung Un Rama,75,100,Demon,100,100
Hellboy,Dark Horse Comics,Good,100,100,Male,240,Anung Un Rama,75,100,Demon,50,55
Hellcat,Marvel Comics,Good,70,45,Female,241,Patricia Walker,80,45,Human,35,10
Hellfire (MCU),Marvel Comics,Bad,75,25,Male,242,JT James,75,55,Inhuman,20,10
Highfather,DC Comics,Good,95,100,Male,243,Izaya,100,100,God / Eternal,90,100
Hit-Monkey,Marvel Comics,Neutral,85,45,Male,244,Unknown,85,70,Animal,50,15
Hive (MCU),Marvel Comics,Bad,100,100,Male,245,Unknown,90,100,Inhuman,40,30
Hogun (MCU),Marvel Comics,Good,90,75,Male,246,Hogun,70,70,Alien,60,60
Hourman,DC Comics,Good,80,70,Male,247,Rex Tyler,85,85,Metahuman,65,80
Howard The Duck,Marvel Comics,Good,90,40,Male,248,Howard,90,100,Animal,40,10
Hugo Strange,DC Comics,Bad,85,45,Male,249,Professor Hugo Strange,100,75,Human,35,15
Hulk Earth-5901,Marvel Comics,Good,75,100,Male,250,Bruce Banner,75,100,Human,90,100
Hulk,Marvel Comics,Good,85,100,Male,251,Bruce Banner,60,100,Human / Radiation,85,100
Human Torch (FOX),Marvel Comics,Good,65,50,Male,252,Jonathan Storm,75,100,Human / Radiation,75,15
Human Torch II,Marvel Comics,Good,45,60,Male,253,Jim Hammond,90,55,Android,35,15
Huntress (CW),DC Comics,Good,100,30,Female,254,Helena Bertinelli,90,20,Human,45,10
Huntress (Injustice),DC Comics,Good,100,50,Female,255,Helena Rosa Bertinelli,85,35,Human,50,15
Hush,DC Comics,Bad,80,40,Male,256,Thomas Elliot,95,25,Human,25,10
Husk,Marvel Comics,Good,65,80,Female,257,Paige Elisabeth Guthrie,80,50,Mutant,35,65
Hybrid,Marvel Comics,Good,80,75,Male,258,Scott Washington,80,100,Symbiote,60,65
Iceman (FOX),Marvel Comics,Good,65,60,Male,259,Bobby Drake,80,70,Mutant,50,35
Iceman,Marvel Comics,Good,65,100,Male,260,Bobby Drake,80,100,Mutant,55,30
Icon,DC Comics,Good,90,100,Male,261,Arnus,95,100,Alien,100,100
Immortal Hulk,Marvel Comics,Neutral,85,100,Male,262,Bruce Banner,90,100,Human / Radiation,90,100
Imperiex,DC Comics,Bad,85,100,Male,263,Imperiex,90,100,God / Eternal,95,100
Incredible Hulk (Universal),Marvel Comics,Good,85,100,Male,264,Bruce Banner,95,100,Human,75,100
Ink,Marvel Comics,Good,50,40,Male,265,Eric Gitter,70,75,Mutant,15,30
Invisible Woman (FOX),Marvel Comics,Good,80,85,Female,266,Susan Storm,100,100,Human / Radiation,75,20
Iron Fist,Marvel Comics,Good,100,50,Male,267,Danny Rand,90,95,Human,35,55
Iron Monger (MCU),Marvel Comics,Bad,80,70,Male,268,Obadiah Stane,100,55,Human,70,65
Itachi Uchiha,Shueisha,Neutral,100,75,Male,269,Uchiha Itachi,90,100,Human,80,100
Jack-Jack,Dark Horse Comics,Good,5,80,Male,270,Jack-Jack Parr,35,100,Human,65,35
Jack of Hearts,Marvel Comics,Good,30,30,Male,271,Jonathan Hart,80,75,Human,100,55
Jacob Frye,Ubisoft,Good,100,35,Male,272,Jacob Frye,90,65,Human,40,10
James Bond (Craig),Ian Fleming,Good,90,35,Male,273,James Bond,95,25,Human,15,15
Jane Foster (MCU),Marvel Comics,Good,40,10,Female,274,Jane Foster,100,15,Human,15,10
Jay (The LEGO Ninjago Movie),Lego,Good,100,30,Male,275,Jay Gordon,85,100,Human,35,10
Jean Grey,Marvel Comics,Good,70,20,Female,276,Jean Grey,95,95,Mutant,20,80
Jemma Simmons (MCU),Marvel Comics,Good,70,20,Female,277,Jemma Anne Simmons,100,10,Human,20,10
Jesse Quick (CW),DC Comics,Good,75,75,Female,278,Jesse Wells,100,100,Metahuman,100,30
Jesse Quick,DC Comics,Good,90,60,Female,279,Jesse Chambers,95,100,Human,100,30
Jessica Jones,Marvel Comics,Good,55,70,Female,280,Jessica Campbell Jones Cage,80,20,Human,50,45
Jigsaw (MCU),Marvel Comics,Bad,90,45,Male,281,Billy Russo,85,45,Human,35,15
Joe Wilson (CW),DC Comics,Bad,95,40,Male,282,Joe Wilson,85,35,Human,40,15
Johann Krauss,Dark Horse Comics,Good,50,60,Male,283,Johann Krauss,85,100,Energy,70,20
John Pilgrim (MCU),Marvel Comics,Neutral,90,45,Male,284,Robert Pilgrim,85,40,Human,35,15
Joker,DC Comics,Bad,70,60,Male,285,Jack Napier,100,45,Human,10,10
Jonah Hex (CW),DC Comics,Good,80,35,Male,286,Jonah Hex,85,40,Human,30,15
Jubilee,Marvel Comics,Good,90,20,Female,287,Jubilation Lee,80,65,Mutant,20,10
Juggernaut (FOX),Marvel Comics,Bad,85,85,Male,288,Cain Marko,65,100,Mutant,70,50
